"viejo","nuevo","antesKB","despuesKB","dim"
"combo-porongo-pulido-posamate.png","combo-porongo-pulido-posamate.jpg","1468","67","1525 x 1906 => 960 x 1200"
"combo-porongo-virola-chata-posamate.png","combo-porongo-virola-chata-posamate.jpg","1152","61","1525 x 1906 => 960 x 1200"
"imagen para horizontal.png","imagen para horizontal.jpg","7969","173","1988 x 2994 => 797 x 1200"
"imperial-algarrobo-new.png","imperial-algarrobo-new.jpg","2735","106","1525 x 1906 => 960 x 1200"
"imperial-sin-base.png","imperial-sin-base.jpg","2966","78","1525 x 1906 => 960 x 1200"
"imperial-zebra.png","imperial-zebra.jpg","1779","74","1525 x 1906 => 960 x 1200"
"Mate Algarrobo Ranchero frente.png","Mate Algarrobo Ranchero frente.jpg","2158","63","1525 x 1906 => 960 x 1200"
"Matera cuero crudo cocida con tiento.png","Matera cuero crudo cocida con tiento.jpg","1475","64","1525 x 1906 => 960 x 1200"
"Matera cuero crudo trenzada.png","Matera cuero crudo trenzada.jpg","1396","62","1525 x 1906 => 960 x 1200"
"matera-canasta.png","matera-canasta.jpg","3386","77","1525 x 1906 => 960 x 1200"
"matera-dividida.png","matera-dividida.jpg","2726","60","1525 x 1906 => 960 x 1200"
"personalizado-laser-2.png","personalizado-laser-2.jpg","2257","153","1086 x 1448 => 900 x 1200"
"personalizado-laser.png","personalizado-laser.jpg","1578","80","1086 x 1448 => 900 x 1200"
"porongo-clasico.png","porongo-clasico.jpg","907","53","1525 x 1906 => 960 x 1200"
"porongo-pulido.png","porongo-pulido.jpg","2148","49","1525 x 1906 => 960 x 1200"
"porongo-virola-chata.png","porongo-virola-chata.jpg","2007","50","1525 x 1906 => 960 x 1200"
"Productos al por mayor para web.png","Productos al por mayor para web.jpg","2457","172","1122 x 1402 => 960 x 1200"
"strip-01.png","strip-01.jpg","18643","171","3930 x 4911 => 960 x 1200"
"strip-02.png","strip-02.jpg","6835","153","2178 x 2723 => 960 x 1200"
"strip-03.png","strip-03.jpg","9379","197","2732 x 3415 => 960 x 1200"
"strip-04.png","strip-04.jpg","1800","61","2160 x 2700 => 960 x 1200"
"strip-05.png","strip-05.jpg","1658","82","2160 x 2700 => 960 x 1200"
"strip-06.png","strip-06.jpg","1645","62","1988 x 2485 => 960 x 1200"
"strip-07.png","strip-07.jpg","4653","136","1988 x 2485 => 960 x 1200"
"strip-08.png","strip-08.jpg","6349","190","1988 x 2485 => 960 x 1200"
"strip-09.png","strip-09.jpg","8915","114","4117 x 5146 => 960 x 1200"
"strip-10.png","strip-10.jpg","7462","100","4116 x 5145 => 960 x 1200"
"torpedo-cuero-new.png","torpedo-cuero-new.jpg","1801","92","1525 x 1906 => 960 x 1200"
"torpedo-virola-marron.png","torpedo-virola-marron.jpg","1581","55","1525 x 1906 => 960 x 1200"
"torpedo-virola-negro.png","torpedo-virola-negro.jpg","1524","58","1525 x 1906 => 960 x 1200"
"yerbero Un Amargo.png","yerbero Un Amargo.jpg","1473","46","1525 x 1906 => 960 x 1200"
"yerbero Un Amargo1.png","yerbero Un Amargo1.jpg","1309","38","1525 x 1906 => 960 x 1200"
"yerbero Un Amargo2.png","yerbero Un Amargo2.jpg","1501","56","1525 x 1906 => 960 x 1200"
"yerbero Un Amargo3.png","yerbero Un Amargo3.jpg","1380","44","1525 x 1906 => 960 x 1200"
